author_first_name,author_last_name,title,isbn
Bruce,Coville,The Dragon of Doom,0689857578
Claire,Robinson,In the Wild Penguins,1575721376
Lizzie,Mack,Chocolate or Vanilla,0545156025
Kathy,Furgang,Everything Weather,1426310587
Kieran,Scott,Ultimate Cheerleading,0590386514
Stuart,Gibbs,Spy School,1442421835
Christine,Denis-Huot,The Hippopotamus: River Horse,0881064335
Dan,Gutman,The Million Dollar Shot,0786803347
Caroline,Arnold,Lions,0688126928
Stuart A.,Kallen,Persian Cats,1562394452
Erin,Hunter,Warriors Starlight,0060827629
Deborah,nuzzolo,Hammerhead Sharks,1429617284
Mary,Pope-Osborne,Magic Treehouse,0679824111
Shane,Frederick,The Best of Everything Football Book,1491404760
Lincoln,Peirce,Big Nate In a Class By Himself #1,0062107585
Bob,Temple,Pugs,1577654226
Janet,Pascal,Who Was Dr. Seuss,1101535431
Barry,Wilner,Swimming,0811465969
Susan,Gray,Shih Tzus,1592967779
Eric,Arnold,Jokes You Shouldn't Tell Your Teacher,0689826982
Suzanne,McNeill,Joy of Zentangle,1574214276
Ann E.,Burg,E is for Empire,1585361135
Peter,Eldin,Mind Tricks,0761328246
Chris,Hayhurst,Lacrosse,1404201831
Rick,Riordan,Percy Jackson and the Sea of Monsters,0439027020
J.K.,Rowling,Harry Potter and the Half Blood Prince,0439784549
R.L.,Stine,Goosebumps Horrorland: Dr. Maniac Vs. Robby S.,100439918731
Alex,Morgan,The Kicks,9781442485709
Sally,Morgan,Tigers,9871595663122
Laura,Jeffrey,Dogs,9780766025202
Scott,Marquette,World War 1,158952392X
Jeff,Kinney,Diary of a Wimpy Kid,9781419711329
Hidenori,Kusaka,Pokemon Adventure: Gold and Silver,9781421530611
Ann,Howard Creel,Kailey,9781428717053
Brad,Epstein,New York Yankees 101,9781932530995
Charles,Smith Jr.,Diamond Life,0405060708
David,Armentrout,Outdoor Adventures Fishing,1571032045
Don,Wells,For Love of Tennis,1590363027
Mary Elizabeth,Salzmann,Dandy Dogs,2006033249
Lauren,Tarshis,"I Survived the Sinking of the Titanic, 1912",9780545206945
Jarrett,Krosoczka,Lunch Lady and the Cyborg Substitute,9780329714536
Caryn,Yacowitz,Iroquois Indians,1403403031
Paula,Deen,Paula Deen's My First Cookbook,9781416950332
Dorling,Kindersley,The Visual Dictionary of Ancient Civilizations,1564587010
Harvey,Weiss,Machines and How They Work,069004299
Jude,Watson,The 39 Clues: In To Deep,10054506046
Sarah,De Capua,The Iroquois,0761418962
Vicki,Cobb,Science Experiments You Can Eat,0060235519
Colleen,Van Blaricom,Crafts From Recyclables,1563970155
Pual,Mason,How To Improve At Swimming,0778735702
John,Nichols,The Story of the Boston Red Sox,9781583414811
Lucia,Raatma,Pocahontas,0756501156
Berlitz,Kids,Italian Picture Dictionary,2831562562
Dennis,Fardin,Who Was Thomas Jefferson,9781413116335
Julia,Barnes,101 Facts About Horses & Ponies,0836830199
Cynthia,DeFelic,The Ghost Of Fossil Glen,0380731754
Jason,Hawes,Ghost Hunt,10987654321
Scott,Marquette,World War 2,1589523938
Bert,Rosenthal,Track and Field How To Play the All Star Way,0811457788
Sarah,powell,The Cardboard Box Book,9780312517380
Janet,Pascal,Who Was Abraham Lincoln,9780448448862
Jen,Jones,Fashion Trends,978073686831
Michael,Goodman,Montreal Canadiens,9781583416181
John,Hamilton,Knights and Heroes,1596793368
Julia,Barnes,101 Facts About Hamsters,0836830180
Mo,Willems,A Big Guy Took My Ball,9781423174912
Leej,Ames,Draw 50 Cats,03852348488
Candlewick,Press,Peppa Pig and the Lost Christmas List,9780763662769
Jennifer,Holm,Squish Fear the Amobea,9780307983022
Rachel,Morgan,Duct Tape: Tape It and Make It More,9781438003344
Scott,Marquette,Vietnam War,1589523911
C.S.,Lewis,"The Lion, The Witch and The Wardrobe",0060234814
Tony,Diterlizzi,Beyond the Spiderwick Chronicles,100689871317
Judy,Donnelly,Titanic Lost and Found,394886690
Zac,Williams,Little Monsters Cookbook,1423606000
Frances,Purslow,For The Love Of Rugby,1590363809
